clean_feedback,valid_invalid,category,sentiment
reading corner feel okay,valid,library,neutral
found past paper quickly,valid,library,positive
book return queue long,valid,library,negative
library timing seems fine,valid,library,neutral
staff helped find note,valid,library,positive
study lamp flicker sometimes,valid,library,negative
library shelf look neat,valid,library,positive
noise level felt normal,valid,library,neutral
masala dosa tasted good,valid,canteen,positive
coffee too bitter,valid,canteen,negative
lunch felt average today,valid,canteen,neutral
fruit bowl fresh,valid,canteen,positive
gravy felt watery,valid,canteen,negative
snack counter seems okay,valid,canteen,neutral
evening tea tasted nice,valid,canteen,positive
rice serving felt less,valid,canteen,negative
cold drink refreshing,valid,canteen,positive
menu choice feel limited,valid,canteen,neutral
faculty explained topic clearly,valid,academics,positive
note hard follow,valid,academics,negative
class pace felt normal,valid,academics,neutral
extra practice helped lot,valid,academics,positive
too many assignment week,valid,academics,negative
syllabus coverage feel okay,valid,academics,neutral
mock exam improved confidence,valid,academics,positive
doubt session rushed,valid,academics,negative
revision worksheet useful,valid,academics,positive
homework load feel manageable,valid,academics,neutral
office staff polite,valid,administration,positive
document got misplaced,valid,administration,negative
waiting area felt crowded,valid,administration,neutral
guided properly,valid,administration,positive
approval took too long,valid,administration,negative
reception desk seemed busy,valid,administration,neutral
clarified doubt calmly,valid,administration,positive
visit twice signature,valid,administration,negative
form submission went smoothly,valid,administration,positive
office environment feel okay,valid,administration,neutral
website open faster,valid,website,positive
login failed,valid,website,negative
portal design feel average,valid,website,neutral
dashboard look clean,valid,website,positive
upload option hang sometimes,valid,website,negative
menu layout fine,valid,website,neutral
profile saved without issue,valid,website,positive
search feature feel slow,valid,website,negative
notification work properly,valid,website,positive
navigation feel decent,valid,website,neutral
classroom fan work well,valid,facilities,positive
bench broken,valid,facilities,negative
hall feel normal today,valid,facilities,neutral
garden area look clean,valid,facilities,positive
water tap leaking,valid,facilities,negative
parking space feel okay,valid,facilities,neutral
washroom smell better,valid,facilities,positive
staircase light dim,valid,facilities,negative
study room feel comfortable,valid,facilities,positive
corridor feel crowded,valid,facilities,neutral
found journal without delay,valid,library,positive
book torn cover,valid,library,negative
reading desk feel fine,valid,library,neutral
library staff guided nicely,valid,library,positive
book issue counter slow,valid,library,negative
library temperature feel okay,valid,library,neutral
idli sambar tasted nice,valid,canteen,positive
chapati felt hard,valid,canteen,negative
breakfast felt average,valid,canteen,neutral
pasta served hot,valid,canteen,positive
snack tasted stale,valid,canteen,negative
juice counter feel normal,valid,canteen,neutral
practice question cleared doubt,valid,academics,positive
recorded lecture audio issue,valid,academics,negative
class flow seems fine,valid,academics,neutral
weekly test helped revision,valid,academics,positive
too much theory one class,valid,academics,negative
assignment timing feel okay,valid,academics,neutral
processed request quickly,valid,administration,positive
office closed early today,valid,administration,negative
help desk felt busy,valid,administration,neutral
reception staff helpful,valid,administration,positive
reply came very late,valid,administration,negative
office hour seem fine,valid,administration,neutral
fee receipt downloaded smoothly,valid,website,positive
password reset didnt work,valid,website,negative
portal speed feel normal,valid,website,neutral
website layout feel simple,valid,website,positive
page refresh took long,valid,website,negative
font size look okay,valid,website,neutra
classroom board look clean,valid,facilities,positive
washroom floor slippery,valid,facilities,negative
lab feel average today,valid,facilities,neutral
walking path look neat,valid,facilities,positive
plug point dont work,valid,facilities,negative
seating area feel fine,valid,facilities,neutral
library feel quiet today,valid,library,positive
tea tasted bland,valid,canteen,negative
extra tutorial helped revision,valid,academics,positive
office staff seemed stressed,valid,administration,neutral
library feel airy today,valid,library,positive
book smell damp,valid,library,negative
reading desk feel normal,valid,library,neutral
found project reference easily,valid,library,positive
book renewal took time,valid,library,negative
library crowd feel manageable,valid,library,neutral
staff suggested good study material,valid,library,positive
one corner feel noisy,valid,library,negative
library layout look neat,valid,library,positive
silence level feel okay,valid,library,neutral
upma tasted nice,valid,canteen,positive
sambar too thin,valid,canteen,negative
lunch felt average,valid,canteen,neutral
fresh fruit good,valid,canteen,positive
cutlet tasted stale,valid,canteen,negative
serving speed feel fine,valid,canteen,neutral
evening coffee good,valid,canteen,positive
rice portion felt small,valid,canteen,negative
cold drink chilled well,valid,canteen,positive
menu feel repetitive,valid,canteen,neutral
concept explained clearly,valid,academics,positive
slide too much text,valid,academics,negative
class duration felt okay,valid,academics,neutral
extra problem helped practice,valid,academics,positive
topic moved too fast,valid,academics,negative
syllabus pace seems fine,valid,academics,neutral
mock test useful,valid,academics,positive
doubt session felt rushed,valid,academics,negative
revision note helped lot,valid,academics,positive
assignment load feel normal,valid,academics,neutral
office staff supportive,valid,administration,positive
misplaced file,valid,administration,negative
waiting area feel okay,valid,administration,neutral
form approval quick,valid,administration,positive
follow twice,valid,administration,negative
reception counter busy,valid,administration,neutral
answered query patiently,valid,administration,positive
document delayed,valid,administration,negative
process explained clearly,valid,administration,positive
office atmosphere feel normal,valid,administration,neutral
website load quickly,valid,website,positive
login page crashed,valid,website,negative
portal design feel okay,valid,website,neutral
dashboard easy read,valid,website,positive
upload button froze,valid,website,negative
navigation feel average,valid,website,neutral
profile update worked fine,valid,website,positive
search take time sometimes,valid,website,negative
alert useful,valid,website,positive
layout look decent,valid,website,neutra
classroom ventilation feel good,valid,facilities,positive
desk shaky,valid,facilities,negative
hall temperature feel normal,valid,facilities,neutral
garden look well maintained,valid,facilities,positive
washroom tap leaking,valid,facilities,negative
parking feel manageable,valid,facilities,neutral
common area feel clean,valid,facilities,positive
stair feel worn,valid,facilities,negative
study room comfortable,valid,facilities,positive
corridor noise feel average,valid,facilities,neutral
found journal easily today,valid,library,positive
book cover torn,valid,library,negative
reading light feel fine,valid,library,neutral
library staff helpful,valid,library,positive
book issue counter slow,valid,library,negative
library temperature feel okay,valid,library,neutral
masala dosa tasted good,valid,canteen,positive
tea lukewarm,valid,canteen,negative
breakfast felt okay,valid,canteen,neutral
pulao flavorful,valid,canteen,positive
snack felt dry,valid,canteen,negative
juice stall feel normal,valid,canteen,neutral
practice worksheet cleared doubt,valid,academics,positive
audio lecture unclear,valid,academics,negative
class pace feel fine,valid,academics,neutral
weekly test improved confidence,valid,academics,positive
too many slide one class,valid,academics,negative
homework feel manageable,valid,academics,neutral
processed request fast,valid,administration,positive
office opened late today,valid,administration,negative
help desk seemed busy,valid,administration,neutral
reception guided properly,valid,administration,positive
reply took too long,valid,administration,negative
office timing feel okay,valid,administration,neutral
fee payment went smoothly,valid,website,positive
password change failed,valid,website,negative
portal speed feel average,valid,website,neutral
website look clean,valid,website,positive
page loading slow,valid,website,negative
font size feel fine,valid,website,neutral
class board clear,valid,facilities,positive
washroom smell bad,valid,facilities,negative
lab feel normal today,valid,facilities,neutral
campus path look neat,valid,facilities,positive
ceiling fan dont work,valid,facilities,negative
seating feel okay,valid,facilities,neutral
library feel peaceful,valid,library,positive
coffee tasted burnt,valid,canteen,negative
extra class helped revision,valid,academics,positive
office staff looked tired,valid,administration,neutral
library feel quiet afternoon,valid,library,positive
book missing label,valid,library,negative
reading table feel okay,valid,library,neutral
found exam guide quickly,valid,library,positive
book renewal system felt slow,valid,library,negative
library crowd seems normal,valid,library,neutral
staff helped past paper,valid,library,positive
one shelf look messy,valid,library,negative
library ambience feel nice,valid,library,positive
noise level manageable,valid,library,neutral
vegetable pulao tasted good,valid,canteen,positive
tea too sweet,valid,canteen,negative
lunch felt normal today,valid,canteen,neutral
fruit salad fresh,valid,canteen,positive
paneer curry felt bland,valid,canteen,negative
serving speed feel okay,valid,canteen,neutral
evening snack crispy,valid,canteen,positive
rice undercooked,valid,canteen,negative
lemon juice refreshing,valid,canteen,positive
menu choice seem average,valid,canteen,neutral
concept explanation clear,valid,academics,positive
slide hard read,valid,academics,negative
class duration feel fine,valid,academics,neutral
practice problem helped lot,valid,academics,positive
too much homework week,valid,academics,negative
topic coverage feel okay,valid,academics,neutral
mock exam helped revision,valid,academics,positive
doubt clearing rushed,valid,academics,negative
revision class useful,valid,academics,positive
assignment load feel average,valid,academics,neutral
office staff responded kindly,valid,administration,positive
lost application,valid,administration,negative
waiting area feel normal,valid,administration,neutral
form approval smooth,valid,administration,positive
wait long line,valid,administration,negative
reception desk busy,valid,administration,neutral
explained procedure clearly,valid,administration,positive
document delayed,valid,administration,negative
process felt simple,valid,administration,positive
office atmosphere seems okay,valid,administration,neutral
website load quickly today,valid,website,positive
login failed twice,valid,website,negative
portal design feel normal,valid,website,neutral
dashboard look neat,valid,website,positive
upload option lagged,valid,website,negative
navigation feel okay,valid,website,neutral
profile change saved fine,valid,website,positive
search take longer sometimes,valid,website,negative
alert working properly,valid,website,positive
layout feel average,valid,website,neutral
classroom lighting feel good,valid,facilities,positive
bench squeak,valid,facilities,negative
hall temperature feel fine,valid,facilities,neutral
garden area look pleasant,valid,facilities,positive
washroom door dont close properly,valid,facilities,negative
parking feel normal,valid,facilities,neutral
common space look clean,valid,facilities,positive
staircase tile feel loose,valid,facilities,negative
study area feel comfortable,valid,facilities,positive
corridor noise manageable,valid,facilities,neutral
found reference material easily,valid,library,positive
book page torn,valid,library,negative
reading lamp feel okay,valid,library,neutral
library staff polite,valid,library,positive
book counter moved slowly,valid,library,negative
library air feel normal,valid,library,neutral
upma tasted fresh,valid,canteen,positive
coffee felt watery,valid,canteen,negative
breakfast felt average,valid,canteen,neutral
noodle flavorful,valid,canteen,positive
snack tasted cold,valid,canteen,negative
juice stall seems okay,valid,canteen,neutral
practice test cleared doubt,valid,academics,positive
recorded class buffering,valid,academics,negative
class flow feel normal,valid,academics,neutral
weekly quiz helped learning,valid,academics,positive
too much content one lecture,valid,academics,negative
homework load feel fine,valid,academics,neutral
handled request fast,valid,administration,positive
office opened late,valid,administration,negative
help desk felt crowded,valid,administration,neutral
reception staff friendly,valid,administration,positive
reply came many day,valid,administration,negative
office timing feel normal,valid,administration,neutral
fee page worked smoothly,valid,website,positive
password reset failed,valid,website,negative
portal speed feel okay,valid,website,neutral
website look cleaner,valid,website,positive
page refresh slow,valid,website,negative
font style feel fine,valid,website,neutral
classroom board clear,valid,facilities,positive
washroom smell unpleasant,valid,facilities,negative
lab feel average today,valid,facilities,neutral
campus walkway look clean,valid,facilities,positive
ceiling light dont work,valid,facilities,negative
seating feel normal,valid,facilities,neutral
library feel peaceful today,valid,library,positive
tea tasted flat,valid,canteen,negative
extra tutorial helped lot,valid,academics,positive
office staff seemed busy,valid,administration,neutral
library feel fresh morning,valid,library,positive
reference book outdated,valid,library,negative
reading section feel okay today,valid,library,neutral
found lab manual quickly,valid,library,positive
book return took longer usual,valid,library,negative
library crowd seems normal,valid,library,neutral
staff helped locate journal,valid,library,positive
one study corner feel noisy,valid,library,negative
library ambience pleasant,valid,library,positive
noise level feel manageable,valid,library,neutral
vegetable sandwich tasted good,valid,canteen,positive
tea served cold,valid,canteen,negative
lunch felt average today,valid,canteen,neutral
fruit bowl nicely cut,valid,canteen,positive
dal tasted watery,valid,canteen,negative
serving speed feel fine,valid,canteen,neutral
evening coffee tasted nice,valid,canteen,positive
rice felt undercooked,valid,canteen,negative
lime juice refreshing,valid,canteen,positive
menu variety feel okay,valid,canteen,neutral
faculty explained problem clearly,valid,academics,positive
slide confusing,valid,academics,negative
class pace feel normal,valid,academics,neutral
extra worksheet helped revision,valid,academics,positive
too many topic one lecture,valid,academics,negative
syllabus progress feel okay,valid,academics,neutral
mock test helpful,valid,academics,positive
doubt session ended early,valid,academics,negative
revision class cleared doubt,valid,academics,positive
assignment workload feel average,valid,academics,neutral
office staff cooperative,valid,administration,positive
misplaced document,valid,administration,negative
waiting hall felt crowded,valid,administration,neutral
form verification quick,valid,administration,positive
wait long approval,valid,administration,negative
reception area feel busy,valid,administration,neutral
answered query well,valid,administration,positive
response delayed,valid,administration,negative
process felt smooth today,valid,administration,positive
office atmosphere feel okay,valid,administration,neutral
website load faster,valid,website,positive
login page froze,valid,website,negative
portal layout feel average,valid,website,neutral
dashboard look simple,valid,website,positive
upload option failed,valid,website,negative
navigation feel fine,valid,website,neutral
profile change saved properly,valid,website,positive
search bar responds slowly,valid,website,negative
notification useful,valid,website,positive
website design feel okay,valid,website,neutral
classroom fan work properly,valid,facilities,positive
desk damaged,valid,facilities,negative
hall feel normal today,valid,facilities,neutral
garden area look clean,valid,facilities,positive
washroom tap leaking,valid,facilities,negative
parking feel manageable,valid,facilities,neutral
common space feel tidy,valid,facilities,positive
stair rail feel loose,valid,facilities,negative
study room feel calm,valid,facilities,positive
corridor noise feel average,valid,facilities,neutral
found textbook easily,valid,library,positive
book binding weak,valid,library,negative
reading light feel fine,valid,library,neutral
library staff helpful,valid,library,positive
book counter moved slowly,valid,library,negative
library temperature feel okay,valid,library,neutral
masala dosa crispy,valid,canteen,positive
coffee tasted burnt,valid,canteen,negative
breakfast felt okay,valid,canteen,neutral
fried rice tasty,valid,canteen,positive
snack felt stale,valid,canteen,negative
juice counter feel normal,valid,canteen,neutral
practice paper helped revision,valid,academics,positive
audio class unclear,valid,academics,negative
class flow feel fine,valid,academics,neutral
weekly quiz boosted confidence,valid,academics,positive
too many slide one class,valid,academics,negative
homework feel manageable,valid,academics,neutral
processed request fast,valid,administration,positive
office opened late today,valid,administration,negative
help desk seemed busy,valid,administration,neutral
reception guided properly,valid,administration,positive
reply took longer expected,valid,administration,negative
office timing feel fine,valid,administration,neutral
fee receipt downloaded smoothly,valid,website,positive
password reset didnt work,valid,website,negative
portal speed feel average,valid,website,neutral
website layout feel clean,valid,website,positive
page loading slow,valid,website,negative
font size look okay,valid,website,neutral
class board look neat,valid,facilities,positive
washroom smell bad,valid,facilities,negative
lab feel normal today,valid,facilities,neutral
campus path look tidy,valid,facilities,positive
plug point dont work,valid,facilities,negative
seating feel fine,valid,facilities,neutral
library feel peaceful,valid,library,positive
tea tasted weak,valid,canteen,negative
extra class helped revision,valid,academics,positive
office staff looked tired,valid,administration,neutral
library feel quiet evening,valid,library,positive
book faded print,valid,library,negative
reading area feel okay,valid,library,neutral
found project guide easily,valid,library,positive
book renewal system slow,valid,library,negative
library crowd feel manageable,valid,library,neutral
staff helped reference,valid,library,positive
one shelf look dusty,valid,library,negative
library lighting feel pleasant,valid,library,positive
noise level feel normal,valid,library,neutral
vegetable cutlet tasted good,valid,canteen,positive
tea tasted very weak,valid,canteen,negative
lunch felt average today,valid,canteen,neutral
fruit juice fresh,valid,canteen,positive
dal too salty,valid,canteen,negative
serving speed feel okay,valid,canteen,neutral
evening snack crispy,valid,canteen,positive
rice felt dry,valid,canteen,negative
cold coffee tasted nice,valid,canteen,positive
menu choice feel limited,valid,canteen,neutral
teacher explained problem clearly,valid,academics,positive
note confusing week,valid,academics,negative
class duration feel normal,valid,academics,neutral
extra example helped revision,valid,academics,positive
too much homework assigned,valid,academics,negative
topic pace feel okay,valid,academics,neutral
mock exam helped preparation,valid,academics,positive
doubt clearing felt rushed,valid,academics,negative
revision worksheet useful,valid,academics,positive
assignment load feel average,valid,academics,neutral
office staff helpful today,valid,administration,positive
misplaced receipt,valid,administration,negative
waiting hall felt crowded,valid,administration,neutral
form submission smooth,valid,administration,positive
approval took longer expected,valid,administration,negative
reception desk feel busy,valid,administration,neutral
clarified doubt politely,valid,administration,positive
response came very late,valid,administration,negative
process felt simple,valid,administration,positive
office environment feel okay,valid,administration,neutral
website open quickly,valid,website,positive
login failed,valid,website,negative
portal layout feel normal,valid,website,neutral
dashboard look neat,valid,website,positive
upload button lagged,valid,website,negative
navigation feel fine,valid,website,neutral
profile updated successfully,valid,website,positive
search feature slow,valid,website,negative
alert helpful,valid,website,positive
website design feel average,valid,website,neutral
classroom ventilation feel good,valid,facilities,positive
bench shaky,valid,facilities,negative
hall temperature feel normal,valid,facilities,neutral
garden area look nice,valid,facilities,positive
washroom mirror dirty,valid,facilities,negative
parking feel okay,valid,facilities,neutral
common area feel clean,valid,facilities,positive
stair feel worn,valid,facilities,negative
study space feel calm,valid,facilities,positive
corridor noise feel average,valid,facilities,neutral
found reference book easily,valid,library,positive
page torn,valid,library,negative
reading lamp feel fine,valid,library,neutral
library staff guided nicely,valid,library,positive
book issue counter slow,valid,library,negative
library temperature feel okay,valid,library,neutral
idli tasted soft today,valid,canteen,positive
coffee felt watery,valid,canteen,negative
breakfast felt okay,valid,canteen,neutral
pasta served hot,valid,canteen,positive
snack tasted stale,valid,canteen,negative
juice stall feel normal,valid,canteen,neutral
practice test cleared doubt,valid,academics,positive
recorded lecture buffering,valid,academics,negative
class flow feel fine,valid,academics,neutral
weekly quiz helped learning,valid,academics,positive
too many topic one class,valid,academics,negative
homework feel manageable,valid,academics,neutral
processed request fast,valid,administration,positive
office closed early,valid,administration,negative
help desk seemed crowded,valid,administration,neutral
reception staff friendly,valid,administration,positive
reply came very late,valid,administration,negative
office timing feel normal,valid,administration,neutral
fee page worked smoothly,valid,website,positive
password reset failed,valid,website,negative
portal speed feel okay,valid,website,neutral
website look cleaner,valid,website,positive
page loading slow,valid,website,negative
font style feel fine,valid,website,neutral
classroom board clear,valid,facilities,positive
washroom smell unpleasant,valid,facilities,negative
lab feel average today,valid,facilities,neutral
campus walkway look clean,valid,facilities,positive
ceiling light dont work,valid,facilities,negative
seating feel normal,valid,facilities,neutral
library feel peaceful today,valid,library,positive
tea tasted flat,valid,canteen,negative
extra tutorial helped lot,valid,academics,positive
office staff seemed busy,valid,administration,neutral
library feel calm morning,valid,library,positive
book loose binding,valid,library,negative
reading desk feel okay today,valid,library,neutral
found reference note quickly,valid,library,positive
book issuing took longer,valid,library,negative
library crowd feel average,valid,library,neutral
staff helped find journal,valid,library,positive
one corner feel stuffy,valid,library,negative
library ambience feel pleasant,valid,library,positive
noise level feel manageable,valid,library,neutral
vegetable sandwich tasted fresh,valid,canteen,positive
tea too weak,valid,canteen,negative
lunch felt normal today,valid,canteen,neutral
fruit bowl tasted good,valid,canteen,positive
dal felt undercooked,valid,canteen,negative
serving speed feel fine,valid,canteen,neutral
evening snack crunchy,valid,canteen,positive
rice tasted dry,valid,canteen,negative
cold coffee refreshing,valid,canteen,positive
menu variety feel average,valid,canteen,neutral
faculty explained topic clearly,valid,academics,positive
note hard understand,valid,academics,negative
class duration feel okay,valid,academics,neutral
extra worksheet helped practice,valid,academics,positive
too much homework given,valid,academics,negative
topic pace feel fine,valid,academics,neutral
mock exam boosted confidence,valid,academics,positive
doubt clearing felt rushed,valid,academics,negative
revision session helpful,valid,academics,positive
assignment load feel normal,valid,academics,neutral
office staff guided properly,valid,administration,positive
misplaced application,valid,administration,negative
waiting hall felt busy,valid,administration,neutral
form approval quick,valid,administration,positive
wait long,valid,administration,negative
reception counter feel crowded,valid,administration,neutral
answered query politely,valid,administration,positive
response delayed,valid,administration,negative
process felt smooth today,valid,administration,positive
office atmosphere feel okay,valid,administration,neutral
website open faster,valid,website,positive
login page froze,valid,website,negative
portal layout feel average,valid,website,neutral
dashboard look simple,valid,website,positive
upload option failed,valid,website,negative
navigation feel fine,valid,website,neutral
profile updated correctly,valid,website,positive
search take time sometimes,valid,website,negative
notification helpful,valid,website,positive
website design feel okay,valid,website,neutral
classroom fan work well,valid,facilities,positive
desk wobble,valid,facilities,negative
hall temperature feel normal,valid,facilities,neutral
garden area look tidy,valid,facilities,positive
washroom tap leaking,valid,facilities,negative
parking feel manageable,valid,facilities,neutral
common space feel clean,valid,facilities,positive
stair rail feel loose,valid,facilities,negative
study room feel calm,valid,facilities,positive
corridor noise feel average,valid,facilities,neutral
found textbook easily today,valid,library,positive
page missing,valid,library,negative
reading light feel fine,valid,library,neutral
library staff kind,valid,library,positive
book counter slow,valid,library,negative
library temperature feel okay,valid,library,neutral
masala dosa tasted good,valid,canteen,positive
coffee tasted burnt,valid,canteen,negative
breakfast felt okay,valid,canteen,neutral
fried rice flavorful,valid,canteen,positive
snack tasted stale,valid,canteen,negative
juice counter feel normal,valid,canteen,neutral
practice paper cleared doubt,valid,academics,positive
recorded lecture audio issue,valid,academics,negative
class flow feel fine,valid,academics,neutral
weekly quiz helped revision,valid,academics,positive
too many slide one lecture,valid,academics,negative
homework feel manageable,valid,academics,neutral
processed request fast,valid,administration,positive
office opened late today,valid,administration,negative
help desk seemed busy,valid,administration,neutral
reception guided properly,valid,administration,positive
reply came very late,valid,administration,negative
office timing feel fine,valid,administration,neutra
fee receipt downloaded smoothly,valid,website,positive
password reset didnt work,valid,website,negative
portal speed feel average,valid,website,neutral
website layout feel clean,valid,website,positive
page loading slow,valid,website,negative
font size look okay,valid,website,neutral
class board look neat,valid,facilities,positive
washroom smell bad,valid,facilities,negative
lab feel normal today,valid,facilities,neutral
campus path look tidy,valid,facilities,positive
plug point dont work,valid,facilities,negative
seating feel fine,valid,facilities,neutral
library feel peaceful,valid,library,positive
tea tasted weak,valid,canteen,negative
extra class helped revision,valid,academics,positive
office staff looked tired,valid,administration,neutral
website load quickly,valid,website,positive
payment page crashed,valid,website,negative
portal response feel normal,valid,website,neutral
dashboard chart look clear,valid,website,positive
otp took too long,valid,website,negative
menu layout feel okay,valid,website,neutral
projector work smoothly,valid,facilities,positive
ac not cooling properly,valid,facilities,negative
lab seating feel normal,valid,facilities,neutral
waiting area look clean,valid,facilities,positive
drinking water taste odd,valid,facilities,negative
elevator speed feel fine,valid,facilities,neutral
librarian suggested good book,valid,library,positive
shelf messy,valid,library,negative
study table feel okay,valid,library,neutral
quiet zone help focus,valid,library,positive
computer terminal slow,valid,library,negative
library lighting feel fine,valid,library,neutral
idli tasted soft,valid,canteen,positive
sambar too salty,valid,canteen,negative
snack quantity feel normal,valid,canteen,neutral
pasta tasted delicious,valid,canteen,positive
milkshake watery,valid,canteen,negative
billing queue feel average,valid,canteen,neutral
teacher explained concept well,valid,academics,positive
slide confusing,valid,academics,negative
class timing feel okay,valid,academics,neutral
group discussion helped learning,valid,academics,positive
exam instruction unclear,valid,academics,negative
syllabus pace feel normal,valid,academics,neutral
certificate issued quickly,valid,administration,positive
document misplaced,valid,administration,negative
office crowd feel average,valid,administration,neutral
staff guided properly,valid,administration,positive
approval process took long,valid,administration,negative
reception ambience feel okay,valid,administration,neutral
website notification work well,valid,website,positive
search result lag,valid,website,negative
interface feel normal,valid,website,neutral
profile page load fast,valid,website,positive
file upload failed twice,valid,website,negative
text spacing look fine,valid,website,neutral
reading room feel fresh,valid,library,positive
magazine missing,valid,library,negative
library crowd feel okay,valid,library,neutral
reference desk helped,valid,library,positive
book return counter slow,valid,library,negative
library chair feel fine,valid,library,neutral
chapati tasted soft,valid,canteen,positive
curry lacked flavor,valid,canteen,negative
lunch buffet satisfying,valid,canteen,positive
soup tasted bland,valid,canteen,negative
meal portion feel normal,valid,canteen,neutral
dessert delicious,valid,canteen,positive
paneer felt rubbery,valid,canteen,negative
table arrangement feel okay,valid,canteen,neutral
faculty cleared doubt,valid,academics,positive
recorded video blurry,valid,academics,negative
revision pace feel fine,valid,academics,neutral
practice test boosted confidence,valid,academics,positive
assignment deadline sudden,valid,academics,negative
course outline feel normal,valid,academics,neutral
staff processed form quickly,valid,administration,positive
office printer broken,valid,administration,negative
queue length feel average,valid,administration,neutral
help desk solved issue,valid,administration,positive
lost receipt,valid,administration,negative
office seating feel okay,valid,administration,neutral
website payment succeeded,valid,website,positive
captcha kept refreshing,valid,website,negative
page layout feel normal,valid,website,neutral
download link worked fine,valid,website,positive
server error appeared,valid,website,negative
button spacing feel okay,valid,website,neutral
classroom light bright,valid,facilities,positive
projector cable loose,valid,facilities,negative
lab temperature feel normal,valid,facilities,neutral
garden bench look clean,valid,facilities,positive
door handle broken,valid,facilities,negative
walkway space feel fine,valid,facilities,neutral
found required journal fast,valid,library,positive
rack dusty,valid,library,negative
library silence feel okay,valid,library,neutral
staff guided patiently,valid,library,positive
barcode scanner failed,valid,library,negative
reading corner feel fine,valid,library,neutral
biryani tasted great,valid,canteen,positive
curd sour,valid,canteen,negative
dinner crowd feel average,valid,canteen,neutral
fresh juice refreshing,valid,canteen,positive
bread felt stale,valid,canteen,negative
counter spacing feel okay,valid,canteen,neutral
online quiz result updated,valid,academics,positive
lecture audio cracked,valid,academics,negative
study schedule feel normal,valid,academics,neutral
extra class useful,valid,academics,positive
too many test week,valid,academics,negative
course load feel fine,valid,academics,neutral
office staff smiled today,valid,administration,positive
reception felt crowded,valid,administration,neutral
website dashboard load fast,valid,website,positive
login failed twice,valid,website,negative
portal usage feel normal,valid,website,neutral
profile edit saved correctly,valid,website,positive
verification email delayed,valid,website,negative
